FLNO,Seq,FromA,ToA,DeptTime,ArrTime,Plane
1000,1,"DFW","LOG",1/1/2001 10:20,1/1/2001 13:40,7
1010,1,"LAX","ORD",1/1/2001 13:10,1/1/2001 16:20,3
1010,2,"ORD","JFK",1/1/2001 17:10,1/1/2001 20:20,3
1020,1,"LOG","JFK",1/1/2001 5:40,1/1/2001 6:20,9
1020,2,"JFK","DFW",1/1/2001 7:20,1/1/2001 10:20,9
1020,3,"DFW","INT",1/1/2001 11:10,1/1/2001 11:40,7
1020,4,"INT","LAX",1/1/2001 12:20,1/1/2001 15:10,7
1030,1,"LAX","INT",1/1/2001 11:20,1/1/2001 16:10,6
1030,2,"INT","DFW",1/1/2001 17:20,1/1/2001 18:00,6
1040,1,"LAX","LGA",1/1/2002 15:30,1/1/2001 21:00,1
